avg_demand_MW,N_t,lookahead_hr,p_frac,p_mw,duration_hr,e_mwh,shed_sum,shed_mean,shed_max,g1_mean_MW,g1_max_MW,g1_energy_MWh,g1_ramp_up_max_MW_per_step,g1_ramp_down_min_MW_per_step,g2_mean_MW,g2_max_MW,g2_energy_MWh,g2_ramp_up_max_MW_per_step,g2_ramp_down_min_MW_per_step,batt_present,dispatch_L1,dispatch_L2,dispatch_Linf,g1_L1,g1_Linf,g2_L1,g2_Linf,batt_soc_min_MWh,batt_soc_max_MWh,batt_pnet_max_MW,batt_pnet_min_MW,batt_discharge_energy_MWh,batt_charge_energy_MWh,batt_throughput_MWh
300.0,13,1.0,0.0,0.0,3.0,0.0,25.162993331194173,0.09117026569273251,25.162993331194173,293.84800016509786,487.8841567274911,6758.50400379725,37.90577262274729,-22.48996880803338,6.014926635117881,67.1982542006919,138.34331260771125,5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
300.0,13,1.0,0.01,3.0,3.0,9.0,19.162993331194173,0.0694311352579499,19.162993331194173,293.9128981604834,491.051797185724,6759.996657691117,37.90577262274729,-19.48996880803338,5.843208401791705,64.1736566673743,134.3937932412092,5.0,-5.0,1.0,319.80204796004114,35.678728060402754,10.237940185753416,196.629874345567,10.237940185753416,123.17217361447416,7.39686822092699,0.9256578947368423,4.2368421052631575,3.0,-3.000000000000001,5.142860625087435,2.1859951524514534,7.328855777538888
300.0,13,1.0,0.05,15.0,3.0,45.0,0.0,0.0,0.0,294.14926150315335,500.0,6765.433014572527,25.065217004214787,-17.650681198910036,5.312598617690099,65.00736900099014,122.18976820687226,5.0,-5.0,1.0,912.783769945898,109.35799047694617,27.58716160390071,588.2738184212878,27.58716160390071,324.50995152461013,22.891188981129403,5.815789473684211,21.18421052631579,15.0,-14.447400065240386,18.025780553960022,6.704330817464737,24.73011137142476
300.0,13,1.0,0.1,30.0,3.0,90.0,0.0,0.0,0.0,295.1700128551314,500.0,6788.910295668022,37.74277929155312,-32.650681198910036,3.548370799827893,51.697656721974454,81.61252839604154,5.0,-5.0,1.0,1718.5050716238782,189.35326397249003,50.00736900099014,1037.7356610838417,50.00736900099014,680.7694105400365,30.625705348941892,14.084143535905547,42.36842105263158,30.0,-30.0,37.3766364424136,8.955227990583001,46.331864432996596
300.0,13,1.0,0.15,45.0,3.0,135.0,0.0,0.0,0.0,295.29283231725066,500.0,6791.735143296764,50.0,-47.650681198910036,2.9266343397365,48.90027247956402,67.3125898139395,5.0,-5.0,1.0,2378.333885050869,265.03388871537743,62.997291188846475,1525.965211525608,62.997291188846475,852.368673525261,28.161555042965517,18.181363455075797,63.55263157894737,45.0,-45.0,56.56324341389797,16.666744008707056,73.22998742260502
300.0,13,1.0,0.2,60.0,3.0,180.0,0.0,0.0,0.0,295.0531300841177,500.0,6786.221991934706,50.0,-41.25426783888895,2.415711143946581,50.3651226158039,55.56135631077136,5.0,-5.0,1.0,2827.0821585311573,315.4219830054018,63.12644650219801,1833.6986829678788,63.12644650219801,993.3834755632786,40.11883755211005,22.265801150971782,85.6140350877193,60.0,-48.02962326202911,77.62704994367107,20.466165673253926,98.093215616925
300.0,25,2.0,0.0,0.0,3.0,0.0,287.779425755967,1.0900735824089658,65.86210021002887,287.62779676773346,491.21843439564736,6327.811528890136,50.0,-49.62367655456421,8.612358367552247,87.68183808391666,189.47188408614943,5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
300.0,25,2.0,0.01,3.0,3.0,9.0,223.25845830883003,0.845675978442538,59.86210021002887,288.24975214391355,494.5425341186391,6341.494547166098,50.0,-49.62367655456421,8.094701823429347,84.68183808391666,178.0834401154456,5.0,-5.0,1.0,365.5963657670873,38.944515254069564,11.948432276146434,228.9350381186418,11.948432276146434,136.6613276484455,8.948432276146434,0.9000000000000004,4.321052631578947,3.0,-3.0,6.547065474277525,3.4648924922742634,10.011957966551787
300.0,25,2.0,0.05,15.0,3.0,45.0,72.65406261588595,0.2752047826359316,35.86210021002887,289.7382865582022,500.0,6374.2423042804485,50.0,-48.639754734150756,6.623868332989732,75.7853452181464,145.72510332577409,5.0,-5.0,1.0,1404.1545096688205,138.41518410712214,30.9452293836124,879.1931405443165,30.9452293836124,524.9613691245039,15.9452293836124,4.628289473684211,21.60526315789473,15.0,-15.0,24.519361434975302,9.276242469906721,33.79560390488203
300.0,25,2.0,0.1,30.0,3.0,90.0,6.8546712420727545,0.02596466379573013,5.862100210028871,289.33910037164617,500.0,6365.460208176215,33.95637813918421,-47.76782228087359,6.4740396505685425,75.231563139831,142.42887231250793,5.0,-5.0,1.0,1615.1622264767977,169.8628788167775,37.45027494408566,1045.5466350812717,37.45027494408566,569.615591395526,23.353567552857953,9.91944105466977,43.21052631578946,30.0,-15.450690401750888,38.15654716896617,5.351818471914063,43.50836564088023
300.0,25,2.0,0.15,45.0,3.0,135.0,0.0,0.0,0.0,288.9101085328927,500.0,6356.022387723639,50.0,-47.65068119891009,6.380869904964818,79.18314911925052,140.379137909226,5.0,-5.0,1.0,2105.3324863945672,261.2117661920472,52.203007417321885,1464.0967374354004,52.203007417321885,641.235748959167,38.35356755285795,15.78238927134236,63.55263157894737,45.0,-42.53623978201631,59.82240276161065,14.95889660519316,74.78129936680381
