CMP.p95_abs_delta.mean,CMP.p95_abs_delta.std,CMP.penalty_frac.mean,CMP.penalty_frac.std,CMP.std_delta.mean,CMP.std_delta.std,LAED_LMP.p95_abs_delta.mean,LAED_LMP.p95_abs_delta.std,LAED_LMP.penalty_frac.mean,LAED_LMP.penalty_frac.std,LAED_LMP.std_delta.mean,LAED_LMP.std_delta.std,LAED_TLMP_G1.p95_abs_delta.mean,LAED_TLMP_G1.p95_abs_delta.std,LAED_TLMP_G1.penalty_frac.mean,LAED_TLMP_G1.penalty_frac.std,LAED_TLMP_G1.std_delta.mean,LAED_TLMP_G1.std_delta.std,LAED_TLMP_G2.p95_abs_delta.mean,LAED_TLMP_G2.p95_abs_delta.std,LAED_TLMP_G2.penalty_frac.mean,LAED_TLMP_G2.penalty_frac.std,LAED_TLMP_G2.std_delta.mean,LAED_TLMP_G2.std_delta.std,PMP.p95_abs_delta.mean,PMP.p95_abs_delta.std,PMP.penalty_frac.mean,PMP.penalty_frac.std,PMP.std_delta.mean,PMP.std_delta.std,RP_LMP.p95_abs_delta.mean,RP_LMP.p95_abs_delta.std,RP_LMP.penalty_frac.mean,RP_LMP.penalty_frac.std,RP_LMP.std_delta.mean,RP_LMP.std_delta.std,cmp_shed_sum.mean,cmp_shed_sum.std,error_label,laed_shed_sum.mean,laed_shed_sum.std,n,pmp_shed_sum.mean,pmp_shed_sum.std,ramp_bind_count.mean,ramp_bind_count.std,rho,rp_shed_sum.mean,rp_shed_sum.std,runtime_s.mean,runtime_s.std,sigma
0.0,0.0,0.0,0.0,0.4264014327112209,0.0,0.0,0.0,0.0,0.0,0.4264014327112209,0.0,0.0,0.0,0.0,0.0,0.4264014327112209,0.0,0.0,0.0,0.0,0.0,0.4264014327112209,0.0,0.0,0.0,0.0,0.0,0.4264014327112209,0.0,0.0,0.0,0.0,0.0,0.4264014327112209,0.0,0.0,0.0,gaussian,0.0,0.0,1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,3.5819562090327963,0.0,0.005
0.0,0.0,0.0,0.0,0.4264014327112209,0.0,0.0,0.0,0.0,0.0,0.4264014327112209,0.0,0.0,0.0,0.0,0.0,0.4264014327112209,0.0,0.0,0.0,0.0,0.0,0.4264014327112209,0.0,0.0,0.0,0.0,0.0,0.4264014327112209,0.0,0.0,0.0,0.0,0.0,0.4264014327112209,0.0,0.0,0.0,laplace,0.0,0.0,1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,3.5268951250473037,0.0,0.005
0.0,0.0,0.0,0.0,0.4264014327112209,0.0,0.0,0.0,0.0,0.0,0.4264014327112209,0.0,0.0,0.0,0.0,0.0,0.4264014327112209,0.0,0.0,0.0,0.0,0.0,0.4264014327112209,0.0,0.0,0.0,0.0,0.0,0.4264014327112209,0.0,0.0,0.0,0.0,0.0,0.4264014327112209,0.0,0.0,0.0,student-t(df=3),0.0,0.0,1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,3.676354833994992,0.0,0.005
