system,study,month,day,horizon,ramp_multiplier,upward_adder_fraction,forecast_type,forecast_model,forecast_rho,sigma_rel,seed,shortage_penalty,generator,cost,capacity,flexibility,rp_bind,la_bind,rp_scarcity_flex,la_scarcity_flex,rp_utilization,la_utilization,rp_headroom,la_headroom,rp_margin_share,la_margin_share,loc_rp,loc_rp_energy,loc_la,loc_tlmp,delta_la_rp,emergency_rp_mwh,emergency_la_mwh,log_flex,log_capacity,loc_per_mw,relief_per_mw,y_loc,y_relief,z_rp_bind,z_log_flex,z_log_capacity,z_cost,z_rp_utilization,is_rts
10gen,ramp_requirement,1,13,13,0.4,0.16,perfect,independent,0.0,0.0,0,65.0,1,185.0,22.0,1.3636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31015492830383945,3.091042453358316,0.0,0.0,0.0,0.0,-0.2581013273443778,1.7136231060436602,-1.742675757369237,2.8130982101309776,-0.6306741049911595,0.0
10gen,ramp_requirement,1,13,13,0.4,0.16,perfect,independent,0.0,0.0,0,65.0,2,30.0,170.0,0.4117647058823529,0.0069444444444444,0.0069444444444444,0.0168650793650793,0.0168650793650793,0.1026459441780902,0.1029339304091996,0.8973540558219099,0.8970660695908003,0.0659722222222222,0.0659722222222222,85.7973902129379,85.7973902129379,42.02261605547665,0.0,-43.77477415746125,0.0,0.0,-0.8873031950009028,5.135798437050262,0.5046905306643406,0.257498671514478,0.4085872495910587,0.22912456654147986,1.3129502304040048,0.48379743329812636,0.09247184346193812,-0.5141068457278666,-0.3591480704170224,0.0
10gen,ramp_requirement,1,13,13,0.4,0.16,perfect,independent,0.0,0.0,0,65.0,3,55.0,85.0,0.3529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0414538748281612,4.442651256490317,0.0,0.0,0.0,0.0,-0.2581013273443778,0.3254800275924961,-0.5296206681006128,0.02253913102355985,-0.6306741049911595,0.0
10gen,ramp_requirement,1,13,13,0.4,0.16,perfect,independent,0.0,0.0,0,65.0,4,15.0,230.0,0.1304347826086956,0.0,0.0,0.0,0.0,0.9994008621314754,1.0,0.0005991378685247,0.0,0.9895833333333334,0.9965277777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0368819272610406,5.438079308923196,0.0,0.0,0.0,0.0,-0.2581013273443778,-0.6968546582122065,0.36376583708222676,-0.8360944317787224,2.0130090450582894,0.0
10gen,ramp_requirement,1,13,13,0.4,0.16,perfect,independent,0.0,0.0,0,65.0,5,20.0,613.0,0.2446982055464926,0.0,0.0,0.0,0.0,0.346350375762077,0.3464552660634595,0.6536496242379228,0.6535447339365406,0.1388888888888889,0.1354166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4077296418399559,6.418364935936212,0.0,0.0,0.0,0.0,-0.2581013273443778,-0.0506962518188466,1.2435621701850452,-0.7287652364284372,0.2855154712942387,0.0
10gen,ramp_requirement,1,13,13,0.4,0.16,perfect,independent,0.0,0.0,0,65.0,6,19.5,686.0,0.0583090379008746,0.0104166666666666,0.0069444444444444,0.1786458333333333,0.1190972222222222,0.9303229099155826,0.9299926208570513,0.0696770900844174,0.0700073791429486,0.6493055555555556,0.6527777777777778,462.7499999999927,462.7499999999927,41.62802417384955,0.0,-421.1219758261432,0.0,0.0,-2.8419981736119495,6.530877627725885,0.6745626822157328,0.6138804312334448,0.5155520459440052,0.4786414848442031,2.098476009278196,-1.523733369072044,1.344541161344698,-0.7394981559634657,1.8302793464630804,0.0
10gen,ramp_requirement,1,13,13,0.4,0.16,perfect,independent,0.0,0.0,0,65.0,7,48.0,45.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0343568241644879,0.0338128501723923,0.965643175835512,0.9661871498276078,0.0173611111111111,0.0173611111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11778303565638351,3.8066624897703196,0.0,0.0,0.0,0.0,-0.2581013273443778,1.2741178872989047,-1.1004140873204662,-0.12772174246683957,-0.5397910964062423,0.0
10gen,ramp_requirement,1,13,13,0.4,0.16,perfect,independent,0.0,0.0,0,65.0,8,60.0,50.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.916290731874155,3.912023005428146,0.0,0.0,0.0,0.0,-0.2581013273443778,0.4540263570971502,-1.005854101153958,0.12986832637384513,-0.6306741049911595,0.0
10gen,ramp_requirement,1,13,13,0.4,0.16,perfect,independent,0.0,0.0,0,65.0,9,57.0,260.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.564949357461537,5.560681631015528,0.0,0.0,0.0,0.0,-0.2581013273443778,-1.2391958641067669,0.47380016833667465,0.06547080916367397,-0.6306741049911595,0.0
10gen,ramp_requirement,1,13,13,0.4,0.16,perfect,independent,0.0,0.0,0,65.0,10,50.0,400.0,0.125,0.0,0.0,0.0,0.0,0.0015690939196013,0.0015690939196013,0.9984309060803984,0.9984309060803984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0794415416798357,5.991464547107982,0.0,0.0,0.0,0.0,-0.2581013273443778,-0.7405646681204737,0.8604234335336947,-0.08479006432672544,-0.6265234310091019,0.0
